,date,day,filename,flag,id,keywords,link,month,place,publisher,year
5674,2018/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-31T08:35:11+05:30->22484.txt,0,22484,[],http://timesofindia.indiatimes.com//city/bengaluru/as-deadline-nears-state-generates-1-35l-e-way-bills-in-a-single-day/articleshow/62715588.cms,01,bengaluru,TOI,2018
5675,2018/01/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-21T12:23:55+05:30->15326.txt,0,15326,[],http://timesofindia.indiatimes.com//entertainment/telugu/movies/news/allu-arjuns-naa-peru-surya-naa-illu-india-to-release-in-seven-languages/articleshow/62589530.cms,01,NA,TOI,2018
5676,2018/02/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-01T03:57:00+05:30->22966.txt,0,22966,[],http://timesofindia.indiatimes.com//city/nagpur/another-pil-against-order-to-shoot-tigress/articleshow/62730883.cms,02,nagpur,TOI,2018
5677,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T15:20:15+05:30->1183.txt,0,1183,[],http://timesofindia.indiatimes.com//sports/cricket/india-domestic/ranji-trophy/vidarbha-work-a-miracle-win-ranji-trophy-in-maiden-final/articleshow/62332071.cms,01,indore,TOI,2018
5678,2018/01/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-30T07:21:14+05:30->21719.txt,0,21719,[],http://timesofindia.indiatimes.com//city/jaipur/human-milk-bank-in-dholpur-soon/articleshow/62701721.cms,01,jaipur,TOI,2018
5679,2018/01/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-03T14:35:19+05:30->1592.txt,0,1592,[],http://timesofindia.indiatimes.com//city/coimbatore/stop-distributing-neera-samples-farmers-told/articleshow/62343963.cms,01,coimbatore,TOI,2018
5680,2018/02/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-01T00:00:00+05:30->22768.txt,0,22768,[],http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/raja-simha-is-almost-a-sequel-to-simhadriya-simha/articleshow/62723902.cms,02,NA,TOI,2018
5681,2018/01/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-30T07:15:00+05:30->21711.txt,0,21711,[],http://timesofindia.indiatimes.com//city/noida/no-public-reps-on-board-gda-meet-comes-under-a-cloud/articleshow/62701756.cms,01,ghaziabad,TOI,2018
5682,2018/01/04,04,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-04T04:16:00+05:30->2484.txt,0,2484,[],http://timesofindia.indiatimes.com//city/vadodara/vmc-looks-to-outsource-vacant-jobs/articleshow/62358179.cms,01,vadodara,TOI,2018
5683,2018/01/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-03T13:09:55+05:30->1666.txt,0,1666,[],http://timesofindia.indiatimes.com//city/patna/flight-operations-getting-back-to-normalcy/articleshow/62341983.cms,01,patna,TOI,2018
5684,2018/01/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-29T10:01:21+05:30->20653.txt,0,20653,[],http://timesofindia.indiatimes.com//city/madurai/250-kg-plastic-bags-seized/articleshow/62687030.cms,01,madurai,TOI,2018
5685,2018/01/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-01T05:25:56+05:30->228.txt,0,228,[],http://timesofindia.indiatimes.com//city/mumbai/fire-brigade-inquiry-report-will-take-at-least-a-week/articleshow/62320332.cms,01,mumbai,TOI,2018
5686,2018/01/04,04,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-04T06:00:00+05:30->2547.txt,0,2547,[],http://timesofindia.indiatimes.com//city/kolkata/bgbs-makeover-for-nabanna-airport-link/articleshow/62357725.cms,01,kolkata,TOI,2018
5687,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T08:45:12+05:30->1205.txt,0,1205,[],http://timesofindia.indiatimes.com//city/hubballi/residents-hold-demonstration-over-abandoned-road-work/articleshow/62328930.cms,01,hubballi,TOI,2018
5688,2018/01/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-03T15:12:28+05:30->2196.txt,0,2196,[],http://timesofindia.indiatimes.com//india/sanjay-singh-narayan-das-gupta-and-sushil-gupta-to-be-aaps-rs-nominees/articleshow/62349828.cms,01,NA,TOI,2018
